Base,City,State,County,Country,Branch,Operational,Lat,Long,Major Command,FIPS
JEBLCFS Wallops Island VA,Wallops Island,VA,Accomack,United States,Navy,Active,37.918556,-75.490518,NA,51001
Boise Air Terminal,Boise,ID,Ada,United States,Air Force,Guard,43.594457,-116.199831,ANG,16001
NG Orchard Mates Boise,Boise,ID,Ada,United States,Army,Guard,43.603768,-116.272921,NA,16001
Fort Jackson,Jackson,SC,Aiken,United States,Army,Active,33.32542,-81.78789,NA,45003
MCSF Blount Island (FL),Island Grove,FL,Alachua,United States,Marine Corps,Active,29.681312,-82.353862,NA,12001
Eglin Air Force Base Site 2 Santa Rosa Island,Island Grove,FL,Alachua,United States,Air Force,Active,29.681312,-82.353862,NA,12001
Moffett Federal Airfield,"Mountain View, California",CA,Alameda,United States,Air Force,NA,37.415,-122.0483333,ANG,6001
CSO Naval Air Station Alameda,Alameda,CA,Alameda,United States,Navy,Active,37.770563,-122.264779,NA,6001
Pittsburgh International Airport (ANG),Pittsburgh,PA,Allegheny,United States,Air Force,Guard,40.540984,-79.781253,ANG,42003
Pittsburgh International Airport (ARS),Pittsburgh,PA,Allegheny,United States,Air Force,Reserve,40.540984,-79.781253,AFRC,42003
Fort Wayne International Airport,Fort Wayne,IN,Allen,United States,Air Force,NA,40.97833333,-85.195,ANG,21003
Jackson International Airport Thompson Field,Smithdale,MS,Amite,United States,Air Force,Guard,31.331709,-90.7848,NA,28005
Elmendorf Air Force Base,Anchorage,AK,Anchorage,United States,Air Force,Active,61.2536,-149.8113,PACAF,2020
NG Auburn Training Site,Auburn,ME,Androscoggin,United States,Army,Guard,44.087422,-70.243848,NA,23001
Gambrills,Gambrills,MD,Anne Arundel,United States,Navy,Active,39.069831,-76.679254,NA,24003
Upper Yard Annapolis,Annapolis,MD,Anne Arundel,United States,Navy,Active,38.98775,-76.5528,NA,24003
Fort George G Meade,Fort George G Meade,MD,Anne Arundel,United States,Army,Active,39.114553,-76.765249,NA,24003
NAVSUPPACT Annapolis,Annapolis,MD,Anne Arundel,United States,Navy,Active,38.98775,-76.5528,NA,24003
NAVACAD North Severn,Severn,MD,Anne Arundel,United States,Navy,Active,39.1328,-76.69253,NA,24003
Misawa Air Force Base,Aomori,Aomori,Aomori,Japan,Air Force,Active,40.6965,141.3878,PACAF,389
