Wing,Group,Unit,Location,CONUS/OCONUS,Base,State
9 RW,9 OG,DET 1,"AKROTIRI ABS, GR",OCONUS,AKROTIRI ABS,GR
70 ISRW,691 ISRG,22 IS OL BA,"AL UDEID ABS, QA",OCONUS,AL UDEID ABS,QA
70 ISRW,544 ISRG,566 IS DET 1,"ALICE SPRINGS, AU",OCONUS,ALICE SPRINGS,AU
AFTAC,709 SPTG,709 TMXS DET 421 ,"ALICE SPRINGS, AU",OCONUS,ALICE SPRINGS,AU
9 RW,9 OG,DET 4,"ANDERSEN AFB, GU",OCONUS,ANDERSEN AFB,GU
319 RW,319 OG,DET 1 ,"ANDERSEN AFB, GU",OCONUS,ANDERSEN AFB,GU
480 ISRW,693 ISRG,485 IS OL ZA ,"ANKARA, TR",OCONUS,ANKARA,TR
AFTAC,HQ,OL A ,"ANKARTA, TR",OCONUS,ANKARTA,TR
557 WW,2 WXG,13 WS ,"ASHEVILLE, NC",CONUS,ASHEVILLE,NC
AFTAC,HQ,DET 415 OL W,"BANGKOK CITY, TH",OCONUS,BANGKOK CITY,TH
70 ISRW,691 ISRG,22 IS OL NT2,"BARKSDALE AFB, LA",CONUS,BARKSDALE AFB,LA
557 WW,1 WXG,26 OWS,"BARKSDALE AFB, LA",CONUS,BARKSDALE AFB,LA
9 RW,HQ,HQ,"BEALE AFB, CA",CONUS,BEALE AFB,CA
9 RW,HQ,9 CPTS,"BEALE AFB, CA",CONUS,BEALE AFB,CA
9 RW,9 MXG,GR HQ,"BEALE AFB, CA",CONUS,BEALE AFB,CA
9 RW,9 MXG,9 AMXs,"BEALE AFB, CA",CONUS,BEALE AFB,CA
9 RW,9 MXG,9 MXS,"BEALE AFB, CA",CONUS,BEALE AFB,CA
9 RW,9 MXG,9 MUNS,"BEALE AFB, CA",CONUS,BEALE AFB,CA
9 RW,9 MDG,GR HQ,"BEALE AFB, CA",CONUS,BEALE AFB,CA
9 RW,9 MDG,9 HCOS,"BEALE AFB, CA",CONUS,BEALE AFB,CA
9 RW,9 MDG,9 MDSS,"BEALE AFB, CA",CONUS,BEALE AFB,CA
9 RW,9 MDG,9 ORMS,"BEALE AFB, CA",CONUS,BEALE AFB,CA
9 RW,9 MSG,GR HQ,"BEALE AFB, CA",CONUS,BEALE AFB,CA
9 RW,9 MSG,9 CES,"BEALE AFB, CA",CONUS,BEALE AFB,CA
