Base,State,CONUS/OCONUS,Wing,Group,Unit
Akrotiri Air Base Station,GR,OCONUS,9 RW,9 OG,DET 1
Al Udeid ,QA,OCONUS,70 ISRW,691 ISRG,22 IS OL BA
Alice Springs ,AU,OCONUS,70 ISRW,544 ISRG,566 IS DET 1
Alice Springs ,AU,OCONUS,AFTAC,709 SPTG,709 TMXS DET 421 
Andersen Air Force Base,GU,OCONUS,9 RW,9 OG,DET 4
Andersen Air Force Base,GU,OCONUS,319 RW,319 OG,DET 1 
Ankara ,TR,OCONUS,480 ISRW,693 ISRG,485 IS OL ZA 
Ankarta ,TR,OCONUS,AFTAC,HQ,OL A 
Asheville ,NC,CONUS,557 WW,2 WXG,13 WS 
Bangkok City ,TH,OCONUS,AFTAC,HQ,DET 415 OL W
Barksdale Air Force Base,LA,CONUS,70 ISRW,691 ISRG,22 IS OL NT2
Barksdale Air Force Base,LA,CONUS,557 WW,1 WXG,26 OWS
Beale Air Force Base,CA,CONUS,9 RW,HQ,HQ
Beale Air Force Base,CA,CONUS,9 RW,HQ,9 CPTS
Beale Air Force Base,CA,CONUS,9 RW,9 MXG,GR HQ
Beale Air Force Base,CA,CONUS,9 RW,9 MXG,9 AMXs
Beale Air Force Base,CA,CONUS,9 RW,9 MXG,9 MXS
Beale Air Force Base,CA,CONUS,9 RW,9 MXG,9 MUNS
Beale Air Force Base,CA,CONUS,9 RW,9 MDG,GR HQ
Beale Air Force Base,CA,CONUS,9 RW,9 MDG,9 HCOS
Beale Air Force Base,CA,CONUS,9 RW,9 MDG,9 MDSS
Beale Air Force Base,CA,CONUS,9 RW,9 MDG,9 ORMS
Beale Air Force Base,CA,CONUS,9 RW,9 MSG,GR HQ
Beale Air Force Base,CA,CONUS,9 RW,9 MSG,9 CES
Beale Air Force Base,CA,CONUS,9 RW,9 MSG,9 CS
Beale Air Force Base,CA,CONUS,9 RW,9 MSG,9 CONS
Beale Air Force Base,CA,CONUS,9 RW,9 MSG,9 FSS
Beale Air Force Base,CA,CONUS,9 RW,9 MSG,9 LRS
Beale Air Force Base,CA,CONUS,9 RW,9 MSG,9 SFS
Beale Air Force Base,CA,CONUS,9 RW,9 OG,GR HQ
Beale Air Force Base,CA,CONUS,9 RW,9 OG,1 RS
Beale Air Force Base,CA,CONUS,9 RW,9 OG,9 OSS
Beale Air Force Base,CA,CONUS,9 RW,9 OG,9 PSS
Beale Air Force Base,CA,CONUS,9 RW,9 OG,74 RS 
Beale Air Force Base,CA,CONUS,9 RW,9 OG,99 RS
Beale Air Force Base,CA,CONUS,9 RW,9 OG,427 RS
Beale Air Force Base,CA,CONUS,319 RW,319 OG,DET 2
Beale Air Force Base,CA,CONUS,319 RW,319 OG,OL A 
Beale Air Force Base,CA,CONUS,319 RW,319 OG,12 RS
Beale Air Force Base,CA,CONUS,319 RW,319 OG,319 AMXS DET 1
Beale Air Force Base,CA,CONUS,480 ISRW,HQ,27 IS OL DW
Beale Air Force Base,CA,CONUS,480 ISRW,548 ISRG,GR HQ
Beale Air Force Base,CA,CONUS,480 ISRW,548 ISRG,9 IS
Beale Air Force Base,CA,CONUS,480 ISRW,548 ISRG,13 IS
Beale Air Force Base,CA,CONUS,480 ISRW,548 ISRG,48 IS
Beale Air Force Base,CA,CONUS,480 ISRW,548 ISRG,548 IS
Boulder City ,CO,CONUS,557 WW,2 WXG,2 WS OL P
Boulder City ,WY,CONUS,AFTAC,709 SPTG,709 TMXS OL BW 
Buckley Space Force Base,CO,CONUS,70 ISRW,544 ISRG,566 IS 
Buckley Space Force Base,CO,CONUS,70 ISRW,544 ISRG,566 IS OL A
Buckley Space Force Base,CO,CONUS,AFTAC,709 SAG,22 SURS DET 45
Camp Humphreys ,KP,OCONUS,480 ISRW,694 ISRG,303 IS DET 1 OL B 
Cannon Air Force Base,NM,CONUS,363 ISRG,361 ISRG,43 IS 
Cannon Air Force Base,NM,CONUS,363 ISRG,361 ISRG,306 IS OL C
Chanitlly City ,VA,CONUS,70 ISRW,544 ISRG,DET 5 
Cheyenne Mtn Air Force Station,CO,CONUS,AFTAC,709 SAG,22 SURS DET 46
Cheyenne Mtn Air Force Station,CO,CONUS,AFTAC,709 SAG,USAF RADCHEM LAB OL GT
Chiang Mai ,TH,OCONUS,AFTAC,HQ,DET 415 
Colorado Springs City ,CO,CONUS,16 AF,HQ,OL APS 
Creech Air Force Base,NV,CONUS,363 ISRG,365 ISRG,526 IS OL B
Darmstadt ,DE,OCONUS,480 ISRW,693 ISRG,402 IS 
Davis Monthan Air Force Base,AZ,CONUS,55 WG,55 ECG,GR HQ
Davis Monthan Air Force Base,AZ,CONUS,55 WG,55 ECG,41 ECS
Davis Monthan Air Force Base,AZ,CONUS,55 WG,55 ECG,42 ECS
Davis Monthan Air Force Base,AZ,CONUS,55 WG,55 ECG,43 ECS
Davis Monthan Air Force Base,AZ,CONUS,55 WG,55 ECG,755 AMXS
Davis Monthan Air Force Base,AZ,CONUS,55 WG,55 ECG,755 OSS
Davis Monthan Air Force Base,AZ,CONUS,70 ISRW,543 ISRG,93 IS OL NT
Davis Monthan Air Force Base,AZ,CONUS,480 ISRW,548 ISRG,DET 1 
Davis Monthan Air Force Base,AZ,CONUS,557 WW,1 WXG,25 OWS
Denver City ,CO,CONUS,363 ISRG,361 ISRG,OL F 
