Address,State,COUNTRY,Latitude,Longitude,City,State,County,Zip
Eglin AFB Site 2 Santa Rosa Island,Florida,United States,29.681312,-82.353862,Island Grove,FL,Alachua County,32654
Eglin Air Force Auxiliary Field 6,Florida,United States,26.5398,-81.43563,Felda,FL,Hendry County,33930
Eglin Air Force Auxiliary Field 3 Duke Fld,Florida,United States,0,0,,,,
Edwards AFB,California,United States,34.960825,-117.835384,Edwards,CA,Kern County,93523
Arnold,Tennessee,United States,35.4976,-86.0748,Arnold Afb,TN,Coffee County,37389
Tinker Aerospace Complex,Oklahoma,United States,0,0,,,,
Tinker Support Annex,Oklahoma,United States,0,0,,,,
Tinker AFB,Oklahoma,United States,0,0,,,,
Wright-Patt AFB,Ohio,United States,0,0,,,,
Hanscom AFB,Massachusetts,United States,42.45813,-71.27605,Hanscom Afb,MA,Middlesex County,1731
Avon Park AF Range,Florida,United States,0,0,,,,
Arbuckle Airfield,Florida,United States,0,0,,,,
Moody AFB,Georgia,United States,34.298707,-84.152971,Matt,GA,Forsyth County,30130
Poinsett Range,South Carolina,United States,0,0,,,,
Shaw AFB,South Carolina,United States,33.984599,-80.482584,Shaw A F B,SC,Sumter County,29152
Fort Fisher Recreation Site,North Carolina,United States,0,0,,,,
Seymour Johnson AFB,North Carolina,United States,35.282936,-79.107249,Johnsonville,NC,Harnett County,28326
Dare County Range,North Carolina,United States,35.393595,-79.907346,Troy,NC,Montgomery County,27371
Nellis Annex,Nevada,United States,0,0,,,,
Nellis AFB,Nevada,United States,36.239491,-115.025738,Nellis Afb,NV,Clark County,89191
Creech AFB,Nevada,United States,0,0,,,,
Fort Eustis,Virginia,United States,37.157438,-76.584469,Fort Eustis,VA,Newport News city,23604
Nellis Air Force Range,Nevada,United States,0,0,,,,
Offut AFB,Nebraska,United States,41.120236,-95.920947,Offutt A F B,NE,Sarpy County,68113
Saylor Creek Air Force Range,Idaho,United States,0,0,,,,
Mountain Home AFB,Idaho,United States,43.049628,-115.86561,Mountain Home A F B,ID,Elmore County,83648
Patrick AFB,Florida,United States,28.23809,-80.6079,Patrick Afb,FL,Brevard County,32925
Cape Canaveral Air Force Station,Florida,United States,0,0,,,,
Los Angeles Air Force Annex No4,California,United States,0,0,,,,
Los Angeles AFB,California,United States,33.973951,-118.248405,Los Angeles,CA,Los Angeles County,90001
Cheyenne Mountain AFS,Colorado,United States,0,0,,,,
Cape Cod Air Station,Massachusetts,United States,42.15652,-71.489592,,MA,,
Cavalier Asn,North Dakota,United States,48.79388,-97.62231,Cavalier,ND,Pembina County,58220
Clear Air Force Station,Alaska,United States,0,0,,,,
Dyess AFB,Texas,United States,32.4193,-99.83808,Dyess Afb,TX,Taylor County,79607
Barksdale AFB,Louisiana,United States,32.513749,-93.640362,Barksdale Afb,LA,Bossier Parish,71110
March ARB,California,United States,0,0,,,,
Norwalk 2,California,United States,33.906763,-118.076549,Norwalk,CA,Los Angeles County,90650
Dobbins ARB,Georgia,United States,0,0,,,,
Kirtland,New Mexico,United States,36.742972,-108.318698,Kirtland,NM,San Juan County,87417
Whiteman AFB,Missouri,United States,0,0,,,,
F E Warren AFB,Wyoming,United States,41.14025,-104.874531,Fe Warren Afb,WY,Laramie County,82005
Youngstown,Ohio,United States,41.017082,-80.802854,Youngstown,OH,Mahoning County,44501
Newington Defense Fuel Support Point,New Hampshire,United States,0,0,,,,
Ellsworth AFB Site 2,South Dakota,United States,44.15098,-103.09488,Ellsworth Afb,SD,Meade County,57706
Ellsworth AFB,South Dakota,United States,44.15098,-103.09488,Ellsworth Afb,SD,Meade County,57706
Malmstrom AFB,Montana,United States,47.500235,-111.300808,Malmstrom A F B,MT,Cascade County,59402
Laughlin AFB Aux 1,Texas,United States,29.35663,-100.78353,Laughlin A F B,TX,Val Verde County,78843
Laughlin AFB,Texas,United States,29.35663,-100.78353,Laughlin A F B,TX,Val Verde County,78843
Hurlburt Field,Florida,United States,30.422926,-86.698525,Hurlburt Field,FL,Okaloosa County,32544
Boles Annex,New Mexico,United States,0,0,,,,
Holloman AFB,New Mexico,United States,36.03837,-105.38362,Holman,NM,Mora County,87723
Bonito Lake System Annex,New Mexico,United States,33.1587,-105.85693,Bent,NM,Otero County,88314
Melrose Air Force Range,New Mexico,United States,34.50512,-103.564506,Melrose,NM,Curry County,88124
Cannon AFB,New Mexico,United States,0,0,,,,
Cannon AFB Site 2,New Mexico,United States,0,0,,,,
Travis AFB,California,United States,38.271218,-121.94123,Travis Afb,CA,Solano County,94535
Travis Annex  2,California,United States,0,0,,,,
USAF Academy Auxiliary Airfield,Colorado,United States,38.994252,-104.86375,U S A F Academy,CO,El Paso County,80840
USAF Academy,Colorado,United States,38.994252,-104.86375,U S A F Academy,CO,El Paso County,80840
The Farish Memorial Recreational Annex,Colorado,United States,0,0,,,,
Grand Forks AFB,North Dakota,United States,47.967909,-97.367534,Grand Forks Afb,ND,Grand Forks County,58204
Isabela Puerto Rico,Puerto Rico,Puerto Rico,0,0,,,,
Homestead ARB,Florida,United States,25.526889,-80.499812,Homestead,FL,Broward County,33031
Vandenberg Main Base,California,United States,34.708316,-120.467664,Vandenberg Village,CA,Santa Barbara County,93436
Pillar Point AFS,California,United States,0,0,,,,
Schriever AFB,Colorado,United States,0,0,,,,
Peterson AFB,Colorado,United States,0,0,,,,
Buckley AFB,Colorado,United States,0,0,,,,
Pittsburgh IAP (ARS),Pennsylvania,United States,40.47441,-79.950968,Pittsburgh,PA,Allegheny County,15201
Grissom ARB,Indiana,United States,40.780955,-86.016441,Grissom Arb,IN,Miami County,46971
Westover ARB,Massachusetts,United States,42.57926,-71.43784,Westford,MA,Middlesex County,1886
New Boston Air Station,New Hampshire,United States,42.97619,-71.69396,New Boston,NH,Hillsborough County,3070
Niagara Falls,New York,United States,43.095821,-79.040407,Niagara Falls,NY,Niagara County,14301
Tyndall AFB,Florida,United States,0,0,,,,
Davis Monthan AFB,Arizona,United States,0,0,,,,
Little Rock AFB,Arkansas,United States,34.746905,-92.280049,Little Rock,AR,Pulaski County,72201
Langley AFB,Virginia,United States,38.955944,-77.178313,Langley Forest,VA,Fairfax County,22103
Dover AFB,Delaware,United States,39.125261,-75.481823,Dover Afb,DE,Kent County,19902
Fairchild AFB,Washington,United States,47.633161,-117.654603,Fairchild Air Force Base,WA,Spokane County,99011
White Bluff,Washington,United States,0,0,,,,
Cusick Survival Training Site,Washington,United States,48.510409,-117.348383,Cusick,WA,Pend Oreille County,99119
Bellows,Hawaii,United States,0,0,,,,
Lackland Training Annex,Texas,United States,32.776671,-97.009389,Lakeland Heights,TX,Dallas County,75050
Lackland AFB,Texas,United States,32.776671,-97.009389,Lakeland Heights,TX,Dallas County,75050
Keesler AFB,Mississippi,United States,0,0,,,,
Goodfellow AFB,Texas,United States,31.43076,-100.40652,Goodfellow Afb,TX,Tom Green County,76908
Maxwell AFB,Alabama,United States,33.215157,-87.483406,Maxwell,AL,Tuscaloosa County,35404
Maxwell AFB Gunter Annex,Alabama,United States,0,0,,,,
The Barry M Goldwater Air Force Range,Arizona,United States,0,0,,,,
Gila Bend Air Force Auxiliary Field,Arizona,United States,0,0,,,,
Columbus Auxiliary Airfield,Mississippi,United States,33.393933,-88.504719,Columbus,MS,Lowndes County,39701
Luke AFB,Arizona,United States,33.54062,-112.3728,Luke Afb,AZ,Maricopa County,85309
Luke Waste Annex,Arizona,United States,0,0,,,,
Columbus AFB,Mississippi,United States,33.393933,-88.504719,Columbus,MS,Lowndes County,39701
Luke Air Force Auxiliary Field No 1,Arizona,United States,0,0,,,,
Sheppard AFB,Texas,United States,33.969524,-98.509016,Sheppard Afb,TX,Archer County,76311
Altus AFB,Oklahoma,United States,34.598197,-99.440839,Altus Afb,OK,Jackson County,73523
Vance AFB,Oklahoma,United States,34.763974,-96.871961,Vanoss,OK,Pontotoc County,74820
Kegelman Air Force Auxiliary Field,Oklahoma,United States,36.56753,-102.79353,Felt,OK,Cimarron County,73937
Eareckson AS,Alaska,United States,0,0,,,,
King Salmon Airport,Alaska,United States,58.7546,-156.50633,King Salmon,AK,Bristol Bay Borough,99613
Fort Richardson,Alaska,United States,61.259092,-149.690318,Fort Richardson,AK,Anchorage Municipality,99505
Elmendorf AFB,Alaska,United States,61.257409,-149.804165,Elmendorf Afb,AK,Anchorage Municipality,99506
Birch Lake Recreation Annex,Alaska,United States,0,0,,,,
Eielson AFB,Alaska,United States,64.663265,-147.05442,Eielson Afb,AK,Fairbanks North Star Borough,99702
Yukon Weapons Range,Alaska,United States,0,0,,,,
Luis Munoz Marin IAP,Puerto Rico,Puerto Rico,0,0,,,,
Jacksonville IAP,Florida,United States,30.337538,-81.768622,Jacksonville,FL,Duval County,32099
Tucson IAP,Arizona,United States,32.217975,-110.970869,Tucson,AZ,Pima County,85701
Montgomery Regional Airport ANGB,Alabama,United States,0,0,,,,
Jackson IAP Thompson Field,Mississippi,United States,31.331709,-90.7848,Smithdale,MS,Amite County,39664
Robins AFB,Georgia,United States,0,0,,,,
Sky Harbor IAP,Arizona,United States,0,0,,,,
McEntire Joint National Guard Base,South Carolina,United States,0,0,,,,
Channel Islands ANG Station,California,United States,40.026261,-123.490301,Island Mountain,CA,Trinity County,95440
Memphis IAP,Tennessee,United States,35.169255,-89.990415,Memphis,TN,Shelby County,37501
Charlotte/Douglas IAP,North Carolina,United States,0,0,,,,
Fort Smith Map,Arkansas,United States,35.366188,-94.416458,Fort Smith,AR,Sebastian County,72901
Will Rogers World Airport,Oklahoma,United States,0,0,,,,
McGhee Tyson Airport,Tennessee,United States,0,0,,,,
Nashville IAP,Tennessee,United States,36.165688,-86.778098,Nashville,TN,Davidson County,37201
Tulsa IAP,Oklahoma,United States,36.039147,-95.868667,Tulsa,OK,Tulsa County,74101
Fresno Yosemite International ANG,California,United States,36.8411,-119.801015,Fresno,CA,Fresno County,93650
Louisville IAP-Standiford FL Site 1,Kentucky,United States,38.188962,-85.676819,Louisville,KY,Jefferson County,40201
Yeager Airport,West Virginia,United States,0,0,,,,
Smoky Hill ANG Range,Kansas,United States,0,0,,,,
Forbes Field ANG,Kansas,United States,37.047299,-95.447475,Valeda,KS,Labette County,67337
Martin State Airport,Maryland,United States,0,0,,,,
