Base,State,CONUS/OCONUS,MAJCOM,NAF,Wing,Group,Unit
"JAMES ARMSTRONG R JAP, C",AD,OCONUS,ACC,1 AF,1 AF,HQ,1 AIR FORCE (DET 1)
"NO BAY ASN, C",AD,OCONUS,ACC,1 AF,1 AF,HQ,1 AIR FORCE (DET 2)
Joint Base Langley Eustis,VA,CONUS,ACC,1 AF,1 AF,HQ,1 AIR FORCE (OL C)
Fort Sam Houston,TX,CONUS,ACC,1 AF,1 AF,HQ,1 AIR FORCE (OL E)
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,1 NAF FORWARD ELEMENT
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,1 NAF FORWARD ELEMENT (DET 1)
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,1 NAF FORWARD ELEMENT (DET 2)
Homestead Air Reserve Base,FL,CONUS,ACC,1 AF,1 AF,466 AEROSPACE EXP GROUP,119 FIGHTER SQUADRON
SAVANNAH FTS ANG ANX,GA,CONUS,ACC,1 AF,1 AF,466 AEROSPACE EXP GROUP,123 FIGHTER SQUADRON
SAVANNAH FTS ANG ANX,GA,CONUS,ACC,1 AF,1 AF,466 AEROSPACE EXP GROUP,179 FIGHTER SQUADRON
Joint Base Anacostia-Bolling,MD,CONUS,ACC,1 AF,1 AF,HQ,24 AIR DEFENSE SQUADRON
Herndon City,VA,CONUS,ACC,1 AF,1 AF,HQ,24 AIR DEFENSE SQUADRON (OL A)
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 CES
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 COMMUNICATIONS SQUADRON
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 CONTRACTING SQUADRON
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 LOGISTICS READINES SQUADRON
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 MEDICAL SUPPORT SQUADRON
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 SERVICES SQUADRON
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 SFS
Joint Base Andrews,MD,CONUS,ACC,1 AF,320 AEROSPACE EXP WING,HQ,320 AEROSPACE EXP WING (DET 1)
Joint Base Andrews,MD,CONUS,ACC,1 AF,320 AEROSPACE EXP WING,HQ,320 AEROSPACE EXP WING (OL A)
Joint Base Andrews,MD,CONUS,ACC,1 AF,320 AEROSPACE EXP WING,HQ,320 AEROSPACE EXP WING (OL B)
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,331 AEROSPACE EXP GROUP,331 CES
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,331 AEROSPACE EXP GROUP,331 COMMUNICATIONS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,331 AEROSPACE EXP GROUP,331 CONTRACTING SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,331 AEROSPACE EXP GROUP,331 LOGISTICS READINES SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,331 AEROSPACE EXP GROUP,331 SERVICES SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,331 AEROSPACE EXP GROUP,331 SFS
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 CES
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 COMMUNICATIONS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 CONTRACTING SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 LOGISTICS READINES SQUADRON
College Station City,TX,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 MEDICAL OPERATIONS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 MISSION SUPPORT SQUADRON
College Station City,TX,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 SERVICES SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 SFS
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 CES
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 COMMUNICATIONS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 CONTRACTING SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 LOGISTICS READINES SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 MEDICAL OPERATIONS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 MISSION SUPPORT SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 SERVICES SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 SFS
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 CES
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 COMMUNICATIONS SQUADRON
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 CONTRACTING SQUADRON
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 LOGISTICS READINES SQUADRON
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 MISSION SUPPORT SQUADRON
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 SERVICES SQUADRON
Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 SFS
SAVANNAH FTS ANG ANX,GA,CONUS,ACC,1 AF,1 AF,466 AEROSPACE EXP GROUP,466 AEROSPACE EXP SQUADRON
SAVANNAH FTS ANG ANX,GA,CONUS,ACC,1 AF,1 AF,466 AEROSPACE EXP GROUP,466 AIRCRAFT MAINT SQUADRON
SAVANNAH FTS ANG ANX,GA,CONUS,ACC,1 AF,1 AF,466 AEROSPACE EXP GROUP,466 MAINTENANCE SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 MEDICAL GROUP,485 AEROMED EVAC SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 MAINTENANCE GROUP,485 AIRCRAFT MAINT SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 MISSION SUPPORT GROUP,485 CES
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 MISSION SUPPORT GROUP,485 COMMUNICATIONS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 MISSION SUPPORT GROUP,485 CONTRACTING SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 MISSION SUPPORT GROUP,485 FORCE SUPPORT SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 MISSION SUPPORT GROUP,485 LOGISTICS READINES SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 MAINTENANCE GROUP,485 MAINTENANCE OPS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 MAINTENANCE GROUP,485 MAINTENANCE SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 OPERATIONS GROUP,485 OPERATIONS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 OPERATIONS GROUP,485 OPERATIONS SUPPORT SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,485 AEROSPACE EXP WING,485 MISSION SUPPORT GROUP,485 SFS
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 MAINTENANCE GROUP,486 AIRCRAFT MAINT SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 MISSION SUPPORT GROUP,486 CES
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 MISSION SUPPORT GROUP,486 COMMUNICATIONS SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 MISSION SUPPORT GROUP,486 CONTRACTING SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 MISSION SUPPORT GROUP,486 FORCE SUPPORT SQUADRON
Tyndall Air Force Base,FL,CONUS,ACC,1 AF,486 AEROSPACE EXP WING,486 MISSION SUPPORT GROUP,486 LOGISTICS READINES SQUADRON
