ID,Base,State,CONUS/OCONUS,MAJCOM,NAF,Wing,Group,Unit
305,James Armstrong Richardson International Airport,AD,OCONUS,ACC,1 AF,1 AF,HQ,1 AIR FORCE (DET 1)
665,North Bay Air Station,AD,OCONUS,ACC,1 AF,1 AF,HQ,1 AIR FORCE (DET 2)
315,Joint Base Langley Eustis,VA,CONUS,ACC,1 AF,1 AF,HQ,1 AIR FORCE (OL C)
229,Fort Sam Houston,TX,CONUS,ACC,1 AF,1 AF,HQ,1 AIR FORCE (OL E)
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,1 NAF FORWARD ELEMENT
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,1 NAF FORWARD ELEMENT (DET 1)
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,1 NAF FORWARD ELEMENT (DET 2)
285,Homestead Air Reserve Base,FL,CONUS,ACC,1 AF,1 AF,466 AEROSPACE EXP GROUP,119 FIGHTER SQUADRON
,SAVANNAH FTS ANG ANX,GA,CONUS,ACC,1 AF,1 AF,466 AEROSPACE EXP GROUP,123 FIGHTER SQUADRON
,SAVANNAH FTS ANG ANX,GA,CONUS,ACC,1 AF,1 AF,466 AEROSPACE EXP GROUP,179 FIGHTER SQUADRON
310,Joint Base Anacostia-Bolling,MD,CONUS,ACC,1 AF,1 AF,HQ,24 AIR DEFENSE SQUADRON
,Herndon City,VA,CONUS,ACC,1 AF,1 AF,HQ,24 AIR DEFENSE SQUADRON (OL A)
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 CES
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 COMMUNICATIONS SQUADRON
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 CONTRACTING SQUADRON
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 LOGISTICS READINES SQUADRON
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 MEDICAL SUPPORT SQUADRON
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 SERVICES SQUADRON
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,304 SFS
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,331 AEROSPACE EXP GROUP,331 CES
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,331 AEROSPACE EXP GROUP,331 COMMUNICATIONS SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,331 AEROSPACE EXP GROUP,331 CONTRACTING SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,331 AEROSPACE EXP GROUP,331 LOGISTICS READINES SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,331 AEROSPACE EXP GROUP,331 SERVICES SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,331 AEROSPACE EXP GROUP,331 SFS
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 CES
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 COMMUNICATIONS SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 CONTRACTING SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 LOGISTICS READINES SQUADRON
,College Station City,TX,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 MEDICAL OPERATIONS SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 MISSION SUPPORT SQUADRON
,College Station City,TX,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 SERVICES SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,334 AEROSPACE EXP GROUP,334 SFS
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 CES
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 COMMUNICATIONS SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 CONTRACTING SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 LOGISTICS READINES SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 MEDICAL OPERATIONS SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 MISSION SUPPORT SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 SERVICES SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,335 AEROSPACE EXP GROUP,335 SFS
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 CES
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 COMMUNICATIONS SQUADRON
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 CONTRACTING SQUADRON
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 LOGISTICS READINES SQUADRON
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 MISSION SUPPORT SQUADRON
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 SERVICES SQUADRON
694,Patrick Space Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,41 SFS
,SAVANNAH FTS ANG ANX,GA,CONUS,ACC,1 AF,1 AF,466 AEROSPACE EXP GROUP,466 AEROSPACE EXP SQUADRON
,SAVANNAH FTS ANG ANX,GA,CONUS,ACC,1 AF,1 AF,466 AEROSPACE EXP GROUP,466 AIRCRAFT MAINT SQUADRON
,SAVANNAH FTS ANG ANX,GA,CONUS,ACC,1 AF,1 AF,466 AEROSPACE EXP GROUP,466 MAINTENANCE SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,601 AIR OPERATIONS GROUP,601 AIR COMMUNICATIONS SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,601 AIR OPERATIONS GROUP,601 AIR INTELLIGENCE SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,601 AIR OPERATIONS CENTER
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,601 AIR OPERATIONS GROUP,601 AIR OPERATIONS SQUADRON
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,601 AIR OPERATIONS GROUP,601 COMBAT PLANS SQUADRON
113,Columbus Air Force Base,MS,CONUS,ACC,1 AF,1 AF,HQ,620 RESCUE SQUADRON
710,PORT AU PRINCE IN International Airport,HAITI,OCONUS,ACC,1 AF,1 AF,153 AEROSPACE EXP GROUP,823 SFS
824,Tyndall Air Force Base,FL,CONUS,ACC,1 AF,1 AF,HQ,AF RESCUE COORD CENTER
,YORK COUNTY City,VA,CONUS,ACC,1 AF,1 AF,HQ,AF RESCUE COORD CENTER (OL A)
