county_name,fips,state,bed_peak_date,hits_bed_threshold,bed_threshold_date,hits_icu_threshold,icu_threshold_date,bed_peak_number,icu_peak_number,peak_bed_shortfall,peak_icu_shortfall,bed_back_below_threshold,icu_back_below_threshold,has_beds,has_icu,county_group_pop,r_0,bed_stat_type,rates,lwr_peak_date
Barbour,01005,Alabama,2020-07-18,FALSE,NA,FALSE,NA,3,1,48,3,NA,NA,TRUE,TRUE,24881,1.4,est. available beds,hhs_scenario,2020-05-26
Bullock,01011,Alabama,2020-08-20,FALSE,NA,TRUE,2020-05-20,8,2,34,-2,NA,NA,TRUE,FALSE,10138,1.9,est. available beds,hhs_scenario,2020-06-13
Butler,01013,Alabama,2020-06-06,FALSE,NA,FALSE,NA,7,2,43,3,NA,NA,TRUE,TRUE,19680,1.28,est. available beds,hhs_scenario,2020-05-19
Cherokee,01019,Alabama,2020-11-01,FALSE,NA,TRUE,2020-05-20,4,1,35,-1,NA,NA,TRUE,FALSE,26032,1.58,est. available beds,hhs_scenario,2020-08-22
Choctaw,01023,Alabama,2020-06-29,FALSE,NA,TRUE,2020-05-20,2,0,16,-0,NA,NA,TRUE,FALSE,12841,1.26,est. available beds,hhs_scenario,2020-05-19
Clarke,01025,Alabama,2020-07-31,FALSE,NA,TRUE,2020-05-20,3,1,54,-1,NA,NA,TRUE,FALSE,23920,1.51,est. available beds,hhs_scenario,2020-05-28
Clay,01027,Alabama,2020-11-09,FALSE,NA,FALSE,NA,1,0,36,3,NA,NA,TRUE,TRUE,13275,1.58,est. available beds,hhs_scenario,2020-08-23
Cleburne,01029,Alabama,NA,FALSE,NA,FALSE,NA,0,0,0,0,NA,NA,FALSE,FALSE,14987,1.58,est. available beds,hhs_scenario,NA
Conecuh,01035,Alabama,2020-10-20,FALSE,NA,TRUE,2020-05-20,5,1,35,-1,NA,NA,TRUE,FALSE,12277,1.61,est. available beds,hhs_scenario,2020-08-24
Covington,01039,Alabama,2020-11-08,FALSE,NA,FALSE,NA,3,1,126,8,NA,NA,TRUE,TRUE,36986,1.59,est. available beds,hhs_scenario,2020-08-25
Crenshaw,01041,Alabama,2020-10-12,FALSE,NA,TRUE,2020-05-20,5,1,39,-1,NA,NA,TRUE,FALSE,13824,1.58,est. available beds,hhs_scenario,2020-08-18
DeKalb,01049,Alabama,2020-07-31,FALSE,NA,FALSE,NA,7,2,85,6,NA,NA,TRUE,TRUE,71385,1.5,est. available beds,hhs_scenario,2020-05-24
Escambia,01053,Alabama,2020-11-10,FALSE,NA,FALSE,NA,2,1,96,9,NA,NA,TRUE,TRUE,36748,1.59,est. available beds,hhs_scenario,2020-08-25
Fayette,01057,Alabama,2020-05-24,FALSE,NA,FALSE,NA,0,0,39,5,NA,NA,TRUE,TRUE,16433,0.75,est. available beds,hhs_scenario,2020-05-23
Franklin,01059,Alabama,2020-05-27,FALSE,NA,FALSE,NA,7,2,79,3,NA,NA,TRUE,TRUE,31363,1.08,est. available beds,hhs_scenario,2020-05-20
Greene,01063,Alabama,2020-07-13,FALSE,NA,TRUE,2020-05-20,1,0,11,-0,NA,NA,TRUE,FALSE,8233,1.37,est. available beds,hhs_scenario,2020-05-19
Lamar,01075,Alabama,2020-11-06,TRUE,2020-05-20,TRUE,2020-05-20,0,0,-0,-0,NA,NA,FALSE,FALSE,13844,1.56,est. available beds,hhs_scenario,2020-08-18
Macon,01087,Alabama,2020-10-31,FALSE,NA,TRUE,2020-05-20,4,1,95,-1,NA,NA,TRUE,FALSE,18439,1.6,est. available beds,hhs_scenario,2020-08-25
Marengo,01091,Alabama,2020-07-17,FALSE,NA,FALSE,NA,3,1,65,3,NA,NA,TRUE,TRUE,19066,1.4,est. available beds,hhs_scenario,2020-05-22
Marion,01093,Alabama,2020-10-30,FALSE,NA,FALSE,NA,4,1,82,5,NA,NA,TRUE,TRUE,29763,1.56,est. available beds,hhs_scenario,2020-08-18
Monroe,01099,Alabama,2020-11-05,FALSE,NA,FALSE,NA,3,1,60,5,NA,NA,TRUE,TRUE,21067,1.59,est. available beds,hhs_scenario,2020-08-25
Perry,01105,Alabama,2020-11-10,TRUE,2020-05-20,TRUE,2020-05-20,2,0,-2,-0,NA,NA,FALSE,FALSE,9140,1.64,est. available beds,hhs_scenario,2020-09-05
Randolph,01111,Alabama,2020-10-16,FALSE,NA,TRUE,2020-05-20,8,2,2,-2,NA,NA,TRUE,FALSE,22725,1.59,est. available beds,hhs_scenario,2020-08-19
Sumter,01119,Alabama,2020-07-14,FALSE,NA,TRUE,2020-05-20,4,1,19,-1,NA,NA,TRUE,FALSE,12691,1.4,est. available beds,hhs_scenario,2020-05-24
Tallapoosa,01123,Alabama,2020-05-25,FALSE,NA,FALSE,NA,3,1,85,3,NA,NA,TRUE,TRUE,40497,0.93,est. available beds,hhs_scenario,2020-05-23
Washington,01129,Alabama,2020-10-20,FALSE,NA,TRUE,2020-05-20,4,1,13,-1,NA,NA,TRUE,FALSE,16378,1.56,est. available beds,hhs_scenario,2020-08-15
Wilcox,01131,Alabama,2020-07-05,FALSE,NA,TRUE,2020-05-20,1,0,20,-0,NA,NA,TRUE,FALSE,10627,1.3,est. available beds,hhs_scenario,2020-05-19
Winston,01133,Alabama,2020-07-14,FALSE,NA,FALSE,NA,2,1,38,2,NA,NA,TRUE,TRUE,23660,1.36,est. available beds,hhs_scenario,2020-06-01
NA,02013,Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,3515,NA,NA,NA,NA
NA,02016,Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,5723,NA,NA,NA,NA
Bethel,02050,Alaska,2020-05-28,FALSE,NA,TRUE,2020-05-20,0,0,33,-0,NA,NA,TRUE,FALSE,18216,0.75,est. available beds,hhs_scenario,2020-05-26
NA,02060,Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,877,NA,NA,NA,NA
NA,02068,Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2059,NA,NA,NA,NA
NA,02070,Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,5000,NA,NA,NA,NA
NA,02100,Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2474,NA,NA,NA,NA
NA,02105,Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2151,NA,NA,NA,NA
Kenai Peninsula,02122,Alaska,2020-11-09,FALSE,NA,FALSE,NA,1,0,50,4,NA,NA,TRUE,TRUE,58533,1.57,est. available beds,hhs_scenario,2020-08-21
Kodiak Island,02150,Alaska,NA,FALSE,NA,FALSE,NA,0,0,17,0,NA,NA,TRUE,FALSE,13345,0.75,est. available beds,hhs_scenario,NA
NA,02158,Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,8303,NA,NA,NA,NA
NA,02164,Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,1587,NA,NA,NA,NA
Nome,02180,Alaska,NA,FALSE,NA,FALSE,NA,0,0,12,0,NA,NA,TRUE,FALSE,10008,0.75,est. available beds,hhs_scenario,NA
