FIPS,STNAME,CTYNAME,AG1pop,AG2pop,AG3pop,AG4pop,AG5pop,TOT_POP,AG1per,AG2per,AG3per,AG4per,AG5per,AG1hosp,AG2hosp,AG3hosp,AG4hosp,AG5hosp,HospRate
1001,Alabama,Autauga County,14424,17583,14941,4900,3753,55601,0.259419795,0.31623532,0.268718189,0.088127911,0.067498786,0.023088362,0.02757572,0.061509593,0.033841118,0.033459148,0.179473941
1003,Alabama,Baldwin County,51670,61669,60112,26738,17833,218022,0.236994432,0.282856776,0.275715295,0.122639,0.081794498,0.021092504,0.024665111,0.063111231,0.047093376,0.040545533,0.196507755
1005,Alabama,Barbour County,5692,7919,6438,2877,1955,24881,0.22876894,0.318274989,0.258751658,0.115630401,0.078574012,0.020360436,0.027753579,0.059228254,0.044402074,0.038949138,0.190693481
1007,Alabama,Bibb County,5052,7582,6076,2174,1516,22400,0.225535714,0.338482143,0.27125,0.097053571,0.067678571,0.020072679,0.029515643,0.062089125,0.037268571,0.033548268,0.182494286
1009,Alabama,Blount County,14665,17179,15448,6243,4305,57840,0.25354426,0.29700899,0.267081604,0.107935685,0.074429461,0.022565439,0.025899184,0.061134979,0.041447303,0.036894684,0.187941589
1011,Alabama,Bullock County,2328,3461,2688,948,713,10138,0.229631091,0.341388834,0.265141053,0.093509568,0.070329454,0.020437167,0.029769106,0.060690787,0.035907674,0.03486231,0.181667045
1013,Alabama,Butler County,4812,5759,5114,2200,1795,19680,0.244512195,0.292632114,0.259857724,0.111788618,0.09120935,0.021761585,0.02551752,0.059481433,0.042926829,0.045212475,0.194899842
1015,Alabama,Calhoun County,27778,35991,30261,12076,8171,114277,0.243076035,0.314945265,0.264803941,0.105673058,0.071501702,0.021633767,0.027463227,0.060613622,0.040578454,0.035443394,0.185732464
1017,Alabama,Chambers County,7681,10013,9359,3840,2722,33615,0.228499182,0.297872973,0.278417373,0.114234717,0.080975755,0.020336427,0.025974523,0.063729737,0.043866131,0.040139682,0.1940465
1019,Alabama,Cherokee County,5535,6827,7690,3545,2435,26032,0.212622926,0.262254149,0.295405655,0.136178549,0.093538722,0.01892344,0.022868562,0.067618354,0.052292563,0.046367144,0.208070064
1021,Alabama,Chilton County,11470,13575,11697,4461,2950,44153,0.259778497,0.307453627,0.264919711,0.101035037,0.066813127,0.023120286,0.026809956,0.060640122,0.038797454,0.033119267,0.182487086
1023,Alabama,Choctaw County,2813,3380,3695,1668,1285,12841,0.219063936,0.263219375,0.287750175,0.129896426,0.100070088,0.01949669,0.02295273,0.065866015,0.049880227,0.049604743,0.207800405
1025,Alabama,Clarke County,5749,6849,6569,2597,2156,23920,0.240342809,0.286329431,0.274623746,0.108570234,0.090133779,0.02139051,0.024967926,0.062861375,0.04169097,0.044679314,0.195590096
1027,Alabama,Clay County,2984,3732,3808,1525,1226,13275,0.224783427,0.281129944,0.286854991,0.114877589,0.092354049,0.020005725,0.024514531,0.065661107,0.044112994,0.045779902,0.20007426
1029,Alabama,Cleburne County,3734,4246,4092,1692,1223,14987,0.249149263,0.283312204,0.273036632,0.112897845,0.081604057,0.022174284,0.024704824,0.062498085,0.043352772,0.040451131,0.193181097
1031,Alabama,Coffee County,13433,16242,13433,5178,3623,51909,0.258779788,0.312893718,0.258779788,0.099751488,0.069795219,0.023031401,0.027284332,0.059234693,0.038304571,0.03459749,0.182452488
1033,Alabama,Colbert County,12566,16371,14911,6135,4779,54762,0.229465688,0.298948176,0.272287353,0.11203024,0.087268544,0.020422446,0.026068281,0.062326575,0.043019612,0.043259017,0.195095931
1035,Alabama,Conecuh County,2801,3309,3405,1553,1209,12277,0.2281502,0.269528386,0.277347886,0.126496701,0.098476827,0.020305368,0.023502875,0.063484931,0.048574733,0.048814963,0.20468287
1037,Alabama,Coosa County,1951,2791,3492,1447,1034,10715,0.182081195,0.260475968,0.325898273,0.13504433,0.096500233,0.016205226,0.022713504,0.074598115,0.051857023,0.047835166,0.213209034
1039,Alabama,Covington County,8835,10233,10128,4326,3464,36986,0.238874169,0.276672254,0.273833342,0.116963175,0.093657059,0.021259801,0.024125821,0.062680452,0.044913859,0.046425804,0.199405737
1041,Alabama,Crenshaw County,3446,3983,3766,1605,1024,13824,0.24927662,0.288122106,0.272424769,0.116102431,0.074074074,0.022185619,0.025124248,0.06235803,0.044583333,0.036718519,0.190969748
1043,Alabama,Cullman County,20532,25392,22072,9077,6369,83442,0.246063134,0.304307183,0.264519067,0.108782148,0.076328468,0.021899619,0.026535586,0.060548414,0.041772345,0.037836021,0.188591986
1045,Alabama,Dale County,12304,16059,12323,4778,3492,48956,0.251327723,0.328029251,0.251715826,0.097597843,0.071329357,0.022368167,0.028604151,0.057617753,0.037477572,0.035357962,0.181425605
1047,Alabama,Dallas County,10112,11098,10179,4138,2783,38310,0.263951971,0.289689376,0.265700861,0.108013573,0.072644218,0.023491725,0.025260914,0.060818927,0.041477212,0.036009739,0.187058517
