"","Base","Location","State","Coordinates","Major Command","Lat","Long"
"1","Luis Munoz Marin International Airport","San Juan, Puerto Rico","PR","18°26′22″N 066°00′07″W","ANG",18.4394444444444,-66.0019444444445
"2","Homestead Air Reserve Base","Homestead, Florida","FL","25°29′18″N 080°23′01″W","AFRC",25.4883333333333,-80.3836111111111
"3","MacDill Air Force Base","Tampa","FL","27°50′58″N 082°31′16″W","AMC",27.8494444444444,-82.5211111111111
"4","Patrick Space Force Base","Brevard County","FL","28°14′06″N 080°36′36″W","USSF",28.235,-80.61
"5","Cape Canaveral Air Force Station","Cocoa Beach","FL","28°29′20″N 80°34′40″W","USSF",28.4888888888889,-80.5777777777778
"6","Laughlin Air Force Base","Del Rio","TX","29°21′34″N 100°46′41″W","AETC",29.3594444444444,-100.778055555556
"7","Joint Base San Antonio","San Antonio","TX","29°26′56″N 098°26′56″W","AETC",29.4488888888889,-98.4488888888889
"8","Ellington Airport","Houston, Texas","TX","29°36′26″N 95°09′32″W","ANG",29.6072222222222,-95.1588888888889
"9","Naval Air Station Joint Reserve Base New Orleans","Belle Chasse, Louisiana","LA","29°49′31″N 090°02′06″W","ANG",29.8252777777778,-90.035
"10","Camp Mabry","Austin, Texas","TX","30°19′04″N 097°45′38″W","ANG",30.3177777777778,-97.7605555555556
"11","Gulfport Combat Readiness Training Center","Gulfport, Mississippi","MS","30°24′26″N 089°04′12″W","ANG",30.4072222222222,-89.07
"12","Keesler Air Force Base","Biloxi","MS","30°24′41″N 088°55′25″W","AETC",30.4113888888889,-88.9236111111111
"13","Hurlburt Field","Mary Esther","FL","30°25′40″N 086°41′22″W","AFSOC",30.4277777777778,-86.6894444444445
"14","Jacksonville International Airport","Jacksonville, Florida","FL","30°29′39″N 081°41′16″W","ANG",30.4941666666667,-81.6877777777778
"15","Eglin Air Force Base","Valparaiso","FL","30°29′N 086°32′W","AFMC",30.4833333333333,-86.5333333333333
"16","Duke Field","Crestview, Florida","FL","30°39′01″N 086°31′22″W","AFRC",30.6502777777778,-86.5227777777778
"17","Tyndall Air Force Base","Panama City","FL","30°4′43″N 85°34′35″W","AETC",30.0786111111111,-85.5763888888889
"18","Moody Air Force Base","Valdosta","GA","30°58′4″N 83°11′34″W","ACC",30.9677777777778,-83.1927777777778
"19","Goodfellow Air Force Base","San Angelo","TX","31°25′46.6716″N 100°23′56.5434″W","AETC",31.4294444444444,-100.398888888889
"20","Tucson International Airport","Tucson, Arizona","AZ","32°06′55″N 110°55′50″W","ANG",32.1152777777778,-110.930555555556
"21","Savannah/Hilton Head International Airport","Savannah, Georgia","GA","32°07′39″N 081°12′7″W","ANG",32.1275,-81.2019444444445
"22","Davis Monthan Air Force Base","Tucson","AZ","32°09′59″N 110°52′59″W","ACC",32.1663888888889,-110.883055555556
"23","Dannelly Field","Montgomery, Alabama","AL","32°18′16″N 086°24′01″W","ANG",32.3044444444444,-86.4002777777778
"24","Jackson-Evers International Airport","Jackson, Mississippi","MS","32°18′40″N 090°04′33″W","ANG",32.3111111111111,-90.0758333333333
"25","Meridian Regional Airport","Meridian, Mississippi","MS","32°19′57″N 088°45′07″W","ANG",32.3325,-88.7519444444444
"26","Abston Air National Guard Station","Montgomery, Alabama","AL","32°21′22″N 086°20′48″W","ANG",32.3561111111111,-86.3466666666667
"27","Maxwell Air Force Base","Montgomery","AL","32°22′45″N 086°21′45″W","AETC",32.3791666666667,-86.3625
"28","Dyess Air Force Base","Abilene","TX","32°25′15″N 099°51′17″W","AFGSC",32.4208333333333,-99.8547222222222
"29","Barksdale Air Force Base","Bossier City","LA","32°30′07″N 093°39′46″W","AFGSC",32.5019444444444,-93.6627777777778
"30","Robins Air Force Base","Warner Robins","GA","32°38′24″N 083°35′30″W","AFMC",32.64,-83.5916666666667
"31","Hensley Field","Grand Prairie, Texas","TX","32°44′24″N 096°58′12″W","ANG",32.74,-96.97
"32","Naval Air Station Joint Reserve Base Fort Worth","Westworth Village, Texas","TX","32°46′09″N 097°26′30″W","AFRC",32.7691666666667,-97.4416666666667
"33","Holloman Air Force Base","Alamogordo","NM","32°51′09″N 106°06′23″W","ACC",32.8525,-106.106388888889
"34","Joint Base Charleston","Charleston","SC","32°53′55″N 080°02′26″W","AMC",32.8986111111111,-80.0405555555556
"35","Goldwater Air National Guard Base","Phoenix, Arizona","AZ","33°25′36″N 112°00′43″W","ANG",33.4266666666667,-112.011944444444
"36","Luke Air Force Base","Glendale","AZ","33°32′06″N 112°22′59″W","AETC",33.535,-112.383055555556
"37","Sumpter Smith Air National Guard Base","Birmingham, Alabama","AL","33°33′50″N 086°45′08″W","ANG",33.5638888888889,-86.7522222222222
"38","Columbus Air Force Base","Columbus","MS","33°38′38″N 088°26′38″W","AETC",33.6438888888889,-88.4438888888889
"39","March Joint Air Reserve Base","Riverside, California","CA","33°52′50″N 117°15′34″W","AFRC",33.8805555555556,-117.259444444444
"40","Dobbins Air Reserve Base","Marietta, Georgia","GA","33°54′55″N 084°30′59″W","AFRC",33.9152777777778,-84.5163888888889
"41","Los Angeles Space Force Base","El Segundo","CA","33°55′08.79″N 118°22′50.23″W","USSF",33.9188888888889,-118.380555555556
"42","McEntire Joint National Guard Base","Eastover, South Carolina","SC","33°55′15″N 080°48′04″W","ANG",33.9208333333333,-80.8011111111111
"43","Shaw Air Force Base","Sumter","SC","33°58′23″N 080°28′22″W","ACC",33.9730555555556,-80.4727777777778
"44","Sheppard Air Force Base","Wichita Falls","TX","33°59′20″N 098°29′31″W","AETC",33.9888888888889,-98.4919444444444
"45","Channel Islands Air National Guard Station","Oxnard, California","CA","34°06′54″N 119°06′37″W","ANG",34.115,-119.110277777778
"46","Cannon Air Force Base","Clovis","NM","34°22′58″N 103°19′20″W","AFSOC",34.3827777777778,-103.322222222222
"47","Altus Air Force Base","Altus","OK","34°39′59″N 099°16′05″W","AETC",34.6663888888889,-99.2680555555556
"48","Vandenberg Space Force Base","Lompoc","CA","34°43′57″N 120°34′05″W","USSF",34.7325,-120.568055555556
"49","Edwards Air Force Base","Edwards","CA","34°54′20″N 117°53′01″W","AFMC",34.9055555555555,-117.883611111111
"50","Little Rock Air Force Base","Jacksonville","AR","34°55′01″N 092°08′47″W","AMC",34.9169444444444,-92.1463888888889
"51","Kirtland Air Force Base","Albuquerque","NM","35°02′25″N 106°36′33″W","AFMC",35.0402777777778,-106.609166666667
"52","Memphis International Airport","Memphis, Tennessee","TN","35°02′33″N 089°58′36″W","ANG",35.0425,-89.9766666666667
"53","Pope Field","Fayetteville","NC","35°10′15″N 079°00′52″W","AMC",35.1708333333333,-79.0144444444445
"54","Charlotte Douglas International Airport","Charlotte, North Carolina","NC","35°12′58″N 80°55′55″W","ANG",35.2161111111111,-80.9319444444445
"55","Fort Smith Regional Airport","Fort Smith, Arkansas","AR","35°20′12″N 94°22′03″W","ANG",35.3366666666667,-94.3675
"56","Seymour Johnson Air Force Base","Goldsboro","NC","35°20′22″N 077°57′38″W","ACC",35.3394444444444,-77.9605555555556
"57","Arnold Air Force Base","Tullahoma","TN","35°23′33″N 086°05′09″W","AFMC",35.3925,-86.0858333333333
"58","Will Rogers World Airport Moved to Tinker AFB in 2007[163]","Oklahoma City, Oklahoma","OK","35°23′35″N 097°36′03″W","ANG",35.3930555555556,-97.6008333333333
